"syscode"|"inhoud"|"jaar"|"author"
"370"|"<span style=\"font-style: italic;\"><a href=\"http://www.aspeditions.be/articles.aspx?key_words=de+nieuwe+europese+unie&amp;search_type=keyWords&amp;page=1&amp;langue=en-gb\">De Nieuwe Europese Unie. Een heldere gids doorheen de Europese doolhof: geschiedenis, besluitvorming, beleid</a>,</span> VUBPress-IES, 2004, 296 pp.  "|"2004"|"DEVUYST, Youri "
"371"|"<span style=\"font-style: italic;\">EU Decision-Making after the Treaty establishing a Constitution for Europe</span>, University of Pittsburgh, Center for West European Studies, Policy Paper 9, 2004, 27 pp."|"2004"|"DEVUYST, Youri"
"372"|"<span style=\"font-style: italic;\">The European Union at the Crossroads. The EU’s Institutional Evolution from the Schuman Plan to the European Convention,</span> Presses Interuniversitaires Européennes – Peter Lang, 2002, 2 editions, 3 printings, 200 pp. <br>"|"2002"|"DEVUYST, Youri"
"373"|"<span style=\"font-style: italic;\">Transatlantic Trade Policy: US Market Opening Strategies</span>, Pittsburgh: University of Pittsburgh, Center for West European Studies, Policy Paper 1, 1995, 24 pp."|"1995"|"DEVUYST, Youri"
"374"|"American Attitudes on European Political Integration -- The Nixon-Kissinger Legacy, VUB Institute for European Studies, <span style=\"font-style: italic;\">IES Working Papers</span> 2/2007, 37 pp."|"2007"|"DEVUYST, Youri"
"375"|"‘U.S.-China Relations: A View from Europe’, <span style=\"font-style: italic;\">Contemporary International Relations</span>, Vol. 19, No. 5, 2009, pp. 120-135"|"2009"|"DEVUYST, Youri "
"376"|"‘The New Triangle of Power: China, the United States and the European Union’, in Sujian Guo and Baogang Guo (eds.), <span style=\"font-style: italic;\">Thirty Years of China-U.S. Relations: Analytical Approaches and Contemporary Issues</span>, Rowman &amp; Littlefield-Lexington, 2010, pp. 295-314."|"2010"|"DEVUYST, Youri & JING, Men"
"377"|"The European Convention and the democratic deficit of the European Union, in S. Van Thiel, K. De Gucht &amp; R. Lewis (ed), Understanding the New European Constitutional Treaty, VUB Press, p. 111-129"|"2005"|"DESCHOUWER, Kris"
"380"|"\"Het debat binnen de Belgische Socialistische Partij over de Westerse blokvorming, 1944-1949\" in Witte, E. / Burgelman, J.C. en Stouthuysen, P. : \"<span style=\"font-style: italic;\">Tussen Vernieuwing en Restauratie</span>, p. 263-291."|"1989"|"STOUTHUYSEN, Patrick"
"381"|"Kroniek van een aangekondigd huwelijksbedrog. Over de Vlaamse en federale regeerakkoorden, <span style=\"font-style: italic;\">Samenleving en Politiek,</span> 6, 1999, 7, p. 8-14."|"1999"|"STOUTHUYSEN, Patrick"
"382"|"\"Alexis de Tocqueville over individualisme en verenigingen\", in Dekker, P.: \"<span style=\"font-style: italic;\">Civil Society. Verkenningen van een perspectief op vrijwilligerswerk</span>\", Sociaal en Cultureel Planbureau, Rijswijk/Den Haag, 1994, p. 31-35."|"1994"|"STOUTHUYSEN, Patrick "
"383"|"\"<span style=\"font-style: italic;\">Alexis de Tocqueville: Over de Democratie in Amerika. Eerste Boek</span>\", gepubliceerd als nr. 7 in de reeks \"Sociale Wetenschappen Klassiek\", Leuven/Amersfoort, Acco 1993, 116 p.; en als bijzonder nummer 1 van het Tijdschrift voor Sociologie, 13, 1992."|"1992"|"STOUTHUYSEN, Patrick "
"384"|"\"<span style=\"font-style: italic;\">Alexis de Tocqueville: Over de Democratie in Amerika. Tweede Boe</span>k\", gepubliceerd als nr. 8 in de reeks \"Sociale Wetenschappen Klassiek\", Leuven/Amersfoort, Acco 1993, 107 p.; en als bijzonder nummer 2 van het Tijdschrift voor Sociologie, 13, 1992."|"1993"|"STOUTHUYSEN, Patrick"
"385"|"\"België-Nederland. Over gebruik en misbruik van het Nederlandse model\", <span style=\"font-style: italic;\">Samenleving en Politiek</span>, 4, 3/1997, p. 1-3."|"1997"|"STOUTHUYSEN, Patrick"
"386"|"\"De dollars geteld, de orde hersteld, de spelen kunnen beginnen\" (commentaarstuk over de Olympische Spelen in Seoul), <span style=\"font-style: italic;\">Toestanden</span>, 1: 1988, p. 1."|"1988"|"STOUTHUYSEN, Patrick"
"387"|"\"De Dynamiek van Bewapening en Ontwapening\", <span style=\"font-style: italic;\">Vrede</span>, maart 1982, p. 13-17."|"1982"|"STOUTHUYSEN, Patrick"
"388"|"\"De excuus-Truus. Moet er een vrouw in? Over de invoering van quota voor politieke representatie op basis van groepsidentiteiten\", <span style=\"font-style: italic;\">De Nieuwe Maand</span>, 36, maart 1993, p. 22-24."|"1993"|"STOUTHUYSEN, Patrick"
"389"|"\"De Franse koning en de Russische tsaar. Over het vergelijken van revoluties\", <span style=\"font-style: italic;\">Toestanden</span>, 26: 1989, p. 19."|"1989"|"STOUTHUYSEN, Patrick"
"390"|"\"De Geschiedenis van de Geschiedenis. De marxistische en revisionistische historiografie van de Franse Revolutie\", <span style=\"font-style: italic;\">Toestanden</span>, 42: 1989, p. 12-18."|"1989"|"STOUTHUYSEN, Patrick"
"391"|"\"De Ideologie van Extreem-Rechts\", in De Schampheleire, H. en Thanassekos, Y.: \"<span style=\"font-style: italic;\">Extreem Rechts in West-Europa</span>\", Brussel 1991, p. 373-379."|"1991"|"STOUTHUYSEN, Patrick"
"392"|"\"De logica van de beeldcultuur en de logica van de politiek\", <span style=\"font-style: italic;\">Samenleving en Politiek</span>, 1, 3/1994, p. 1-4."|"1994"|"STOUTHUYSEN, Patrick"
"393"|"\"De nieuwe burger en de crisis van de oude politiek\", in Eliaerts, C., <span style=\"font-style: italic;\">Kritische reflecties omtrent de zaak Dutroux. Ouders, justitie, nieuwe burger, media</span>, Brussel, VUBPress, 1997, p. 51-76. Ook gepubliceerd in Huyse, L., <span style=\"font-style: italic;\">Van vertrouwenscrisis tot bewust burgerschap. The Millenium Conferences 1997</span>, Brussel, Koning Boudewijnstichting, 1997, p. 76-88."|"1997"|"STOUTHUYSEN, Patrick"
"394"|"\"De oudste dochter van de Kerk en de religie van de rede. De religieuze dimensie van de Franse Revolutie\", <span style=\"font-style: italic;\">Toestanden</span>, 47: 1989, p. 21-22."|"1989"|"STOUTHUYSEN, Patrick"
"395"|"\"De Politieke Identiteit van de Vlaamse Groene Partij Agalev\",<span style=\"font-style: italic;\"> Res Publica</span>, XXV, 1983, p. 349-375."|"1983"|"STOUTHUYSEN, Patrick"
"396"|"\"<span style=\"font-style: italic;\">De Politisering van het Belgisch Veiligheidsbeleid, 1945-1984. Een verkennend en beschrijvend onderzoek naar de kouding van het Belgisch Parlement ten aanzien van vraagstukken van buitenlandse en defensiepolitiek in de na-oorlogse periode</span>\", onuitgegeven doctoraatsverhandeling, Vrije Universiteit Brussel, april 1988. <br>"|"1988"|"STOUTHUYSEN, Patrick"
"397"|"\"De sociale oorsprong van democratie en dictatuur. Klassenanalyse in het democratiseringsonderzoek\", <span style=\"font-style: italic;\">TIjdschrift voor Sociologie</span>, 18, 1997, p.181-208."|"1997"|"STOUTHUYSEN, Patrick"
"398"|"\"Democratie is Mensenwerk\". Brochure voor <span style=\"font-style: italic;\">Rotary International, </span>Antwerpen, mei 1995, 15 p."|"1995"|"STOUTHUYSEN, Patrick"
"399"|"\"Een Polemologische en Sociologische Kijk op Vijanddenken\" in \"<span style=\"font-style: italic;\">Vijanddenken in het Nukleair Tijdperk</span>\", Brussel 1988, p. 31-40"|"1988"|"STOUTHUYSEN, Patrick"
"400"|"\"Enige Kritieken op de Vredesbeweging\", <span style=\"font-style: italic;\">Tijdschrift voor Diplomatie</span>, september 1982, p. 43-50."|"1982"|"STOUTHUYSEN, Patrick"
"401"|"\"Enkele bedenkingen bij het verschijnsel Agalev\", <span style=\"font-style: italic;\">Links</span>, 14.9.85, p. 4-6."|"1985"|"STOUTHUYSEN, Patrick"
"402"|"\"<span style=\"font-style: italic;\">Extreem-rechts in na-oorlogs Europa</span>\", VUB-Press, 1993, 176 p."|"1993"|"STOUTHUYSEN, Patrick"
"403"|"\"Extreem-rechts is een papieren tijger. Over de limieten van de protestpartij-strategie\", <span style=\"font-style: italic;\">De Nieuwe Maand</span>, 36, september 1993, p. 31-33."|"1983"|"STOUTHUYSEN, Patrick"
"404"|"\"Gemeenschapszin en sociaal kapitaal. Over Robert Putnam\", <span style=\"font-style: italic;\">Samenleving en Politiek</span>, 4, 3/1997, p. 36-43."|"1997"|"STOUTHUYSEN, Patrick"
"405"|"Zwartkijken en doemdenken. Over onze kennis van de samenleving, <span style=\"font-style: italic;\">Facta</span>, 13, 4, 2005, p. 7"|"2005"|"STOUTHUYSEN, Patrick"
"406"|"\"<span style=\"font-style: italic;\">Tussen Restauratie en Vernieuwing: aspecten van de naoorlogse Belgische politiek (1944-1950)</span>\", VUB-Press, Brussel, 1989."|"1989"|"WITTE, Els, STOUTHUYSEN, Patrick & BURGELMAN, Jean-Claude (red) "
"407"|"Federal Regions and External Relations. The Belgian foreign policy making process after the constitutional revision of 1993. <span style=\"font-style: italic;\">International Spectator</span>.<span style=\"font-style: italic;\"> Italian Journal of International Relations</span>, 42, 2007, pp. 209-220. <br>"|"2007"|"STOUTHUYSEN, Patrick  & JANS, Maarten Theo "
"315"|"<a href=\"http://poli.vub.ac.be/publi/orderbooks/mcw/03_intro.pdf\">Vvedenie</a>, in <a href=\"http://poli.vub.ac.be/publi/orderbooks/moral_constraints_on_war_r.html\"><span style=\"font-style: italic;\">Nravstvennie ogranicheniya voiny.Problemy i primery</span></a>, Gardariki, Moscow, 2002., pp. 15-46  "|"2002"|"COPPIETERS, Bruno, FOTION, Nick & APRESYAN, Ruben"
"316"|"<a href=\"http://poli.vub.ac.be/publi/orderbooks/mcw/02_pref.pdf\">Predislovie</a>, in Bruno Coppieters, Nick Fotion, and Ruben Apresyan (eds). <a href=\"http://poli.vub.ac.be/publi/orderbooks/moral_constraints_on_war_r.html\"><span style=\"font-style: italic;\">Nravstvennie ogranicheniya voiny.Problemy i primery</span></a>, Gardariki, Moscow, 2002, pp. 5-14 "|"2002"|"COPPIETERS, Bruno & FOTION, Nick"
"317"|"‘Preface’, in Bruno Coppieters and Nick Fotion (eds), <a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739104373\"><span style=\"font-style: italic;\">Moral Constraints on War: Principles and Cases</span>,</a> Lanham/Md., Lexington Books, 2002, pp. xiii-xix. "|"2002"|"COPPIETERS, Bruno & FOTION, Nick"
"318"|"‘Introduction’, in <a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739104373\"><span style=\"font-style: italic;\">Moral Constraints on War: Principles and Cases</span></a>, Lanham/Md., Lexington Books, 2002,., pp. 1-22. "|"2002"|"COPPIETERS, Bruno, FOTION, Nick & APRESSYAN, Ruben"
"319"|"‘Legitimate Authority’, in <a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739104373\"><span style=\"font-style: italic;\">Moral Constraints on War: Principles and Cases</span></a>, Lanham/Md., Lexington Books, 2002,., pp. 41-58. "|"2002"|"COPPIETERS, Bruno"
"320"|"Right Intentions’, in <a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739104373\"><span style=\"font-style: italic;\">Moral Constraints on War: Principles and Cases</span></a>, Lanham/Md., Lexington Books, 2002,., pp. 59-77. "|"2002"|"COPPIETERS, Bruno & KASHNIKOV, Boris"
"321"|"‘Likelihood of Success’, in <a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739104373\"><span style=\"font-style: italic;\">Moral Constraints on War: Principles and Cases</span></a>, Lanham/Md., Lexington Books, 2002,., pp. 79-90. "|"2002"|"COPPIETERS, Bruno & FOTION, Nick"
"322"|"‘Last Resort’, in <a href=\"http://www.lexingtonbooks.com/Catalog/SingleBook.shtml?command=Search&amp;db=%5EDB/CATALOG.db&amp;eqSKUdata=0739104373\"><span style=\"font-style: italic;\">Moral Constraints on War: Principles and Cases</span></a>, Lanham/Md., Lexington Books, 2002,., pp. 101-121.  "|"2002"|"COPPIETERS, Bruno, APRESSYAN, Ruben & CEULEMANS, Carl"
"56"|"<a href=\"http://poli.vub.ac.be/publi/orderbooks/moral_constraints_on_war_r.html\"><span style=\"font-style: italic;\">Nravstvennie ogranicheniya vojny. Problemi i primeri</span></a>, Moscow, Gardariki  "|"2002"|"COPPIETERS, Bruno, FOTION, Nick & APRESSYAN, Ruben (obschaya redaktsiya)"
"827"|"Rational choice, sociaal dienstbetoon en de mythe van de collectieve probleemoplossing. <span style=\"font-style: italic;\">Res Publica</span> 37(1): 135-57"|"1996"|"DEPAUW, Sam"
"828"|"Weer (g)een Zwarte Zondag? De gemeenteraadsverkiezingen van 8 oktober 2006, <span style=\"font-style: italic;\">TerZake. Praktijkblad voor lokale besturen</span>, 2006, 5, pp. 20-25"|"2006"|"STOUTHUYSEN, Patrick, MARCHAND, Koenraad & GHEQUIRE, Dimitri"
"829"|"<a href=\"http://www.bestuurskunde.nl/wp-content/uploads/2010/07/Bestuurskunde_2008_4_Vallet_Marchand_Stouthuysen_Stadsinnovatieprojecten-in-Vlaamse-steden.pdf\">Stadsinnovatieprojecten in Vlaanderen. Op zoek naar succesvolle praktijken</a>, <span style=\"font-style: italic;\">Bestuurskunde</span>, 4, 2008, pp. 85-97 "|"2008"|"STOUTHUYSEN, Patrick, MARCHAND, Koenraad & VALLET, Nathalie"
"830"|"<span style=\"font-style: italic;\">Stadsinnovatie: hergebruik is herwaarderen. Op zoek naar succesvolle managementpraktijken</span>, Politeia, Brussel<br>"|"2008"|"STOUTHUYSEN, Patrick, MARCHAND, Koenraad & Vallet, Nathalie"
"831"|"Is nieuw noodzakelijk ook beter? Aantekeningen bij vier publicaties over de nieuwe politieke cultuur, Samenleving en Politiek,4, 10/1997, p. 13-20"|"1997"|"STOUTHUYSEN, Patrick"
"832"|"Lenin voor beginners, nawoord bij Richard Pipes, <span style=\"font-style: italic;\">De Onbekende Lenin</span>, Standaard Uitgeverij/Icarus, 1998. Oorspronkelijke uitgave: The Unknown Lenin, Yale University Press, 1997, p. 227-232"|"1998"|"STOUTHUYSEN, Patrick"
"833"|"Liberalisme. Het primaat van de individuele autonomie. In: Carl Devos en Luk Sanders, <span style=\"font-style: italic;\">Politieke Ideologieën in Vlaanderen</span>, Antwerpen, Standaard Uitgeverij, 2008, pp. 87-141"|"2008"|"STOUTHUYSEN, Patrick"
"834"|"\"Vrijzinnigheid, maatschappij en politiek: de volgende vijfentwintig jaar\", in Frank Demeyere en Chris Pijpen, <span style=\"font-style: italic;\">Over Vrijzinnigheid Gesproken: verleden, heden, toekomst,</span> Brussel, VUBPress, 1998, p. 177-202"|"1998"|"STOUTHUYSEN, Patrick  7 DERKS, Anton"
"835"|"\"De Vlaamse Groene Kiezer : Een Profiel\", <span style=\"font-style: italic;\">De Nieuwe Maand</span>, januari 1985, p. 18-22"|"1985"|"STOUTHUYSEN, Patrick & DESCHOUWER, Kris"
"836"|"Processus de mise à l’agenda politique: études des cas, pp. 149-191, in Stefaan Walgrave, Lieven De Winter en Michiel Nuyttemans, <span style=\"font-style: italic;\">Politieke-agenda-setting in België (1991-2000). De moeilijke dialoog tussen publieke opinie, media en het politieke systeem</span>, Gent, Academia Press, 2005<br>"|"2005"|"STOUTHUYSEN, Patrick, VARONE, Frederic & SCHIFFINO, Nathalie"
"837"|"\"1789-1989: De Franse Revolutie, ook een culturele revolutie!\", <span style=\"font-style: italic;\">Toestanden</span>, 17: 1989, p. 11"|"1989"|"STOUTHUYSEN, Patrick  & HUYSSEUNE, Michel"
"838"|"Stedelijk beleid in Vlaanderen en Nederland, pp. 52-76, in Duyvendak, Jan Willem, <span style=\"font-style: italic;\">De Staat en de straat. Beleid, wetenschap en de multiculturele samenleving,</span> Boom, Amsterdam, 2006"|"2006"|"STOUTHUYSEN, Patrick, DUYVENDAK, Jan Willem & VAN DER GRAAF, Peter"
"839"|"tedelijk beleid in Vlaanderen en Nederland: kansarmoede, sociale cohesie en sociaal kapitaal, pp. 365-394 in, Marc Hooghe (ed.), <span style=\"font-style: italic;\">Sociaal Kapitaal en democratie. Verenigingsleven, sociaal kapitaal en politieke cultuur.</span> Acco, Leuven, 2000"|"2000"|"STOUTHUYSEN, Patrick, DUYVENDAK, Jan Willem & VAN DER GRAAF, Peter"
"840"|"De burger voorbij. Een sociografie van de deelnemers aan de volksraadpleging over de Gentse Belfortparking, <span style=\"font-style: italic;\">Tijdschrift van het Gemeentekrediet</span>, 53, nr. 210, 1999/4, p. 51-65"|"1994"|"STOUTHUYSEN, Patrick, BUELENS, Jo, HOOGHE, Marc, LAUWERS, Gunter & PELLERIAUX, Koen"
"841"|"Over oude en nieuwe stedelijkheid, pp. 11-26, in Patrick Stouthuysen en Johan Basiliades, <span style=\"font-style: italic;\">Stadslucht maakt vrij. Liberalisme en stedenbeleid,</span> VUBPress, 2005"|"2005"|"STOUTHUYSEN, Patrick  & BASILIADES, Johan"
"842"|"<span style=\"font-style: italic;\">Stadslucht maakt vrij. Liberalisme en stedenbeleid</span>, VUBPress, 2005"|"2005"|"STOUTHUYSEN, Patrick & BASILIADES, Johan"
"843"|"De droom van Sismondi. Stedelijkheid als alternatief voor het nationalisme: vroegmoderne en hedendaagse debatten. In: Stouthuysen, Patrick, <a href=\"http://www.aspeditions.be/article.aspx?article_id=THESTA029H&amp;langue=en-gb\"><span style=\"font-style: italic;\">The State of the City. The City is the State</span></a>, Brussel, VUBPress, 2007, pp. 99-119  "|"2007"|"STOUTHUYSEN, Patrick & BASILIADES, Johan"
"844"|"Misschien wordt het dan toch nog wat met het Sienjaal. Over het Politiek Contract van de SP, <span style=\"font-style: italic;\">Samenleving en Politiek</span>, 5, 1998, 4, p. 40-43"|"1998"|"STOUTHUYSEN, Patrick"
"845"|"Multiculturaliteit of solidariteit. Over de logica van het multiculturalisme-vertoog, <span style=\"font-style: italic;\">Het Vrije Woord</span>, 46, juli/augustus 2001, p. 11-13"|"2001"|"STOUTHUYSEN, Patrick"
"846"|"Nederlandse politiek in tijden van verwarring. Over de kloof tussen burgers en politiek, <span style=\"font-style: italic;\">Ons Erfdeel</span>, 52, 2009, 190-192"|"2009"|"STOUTHUYSEN, Patrick"
"847"|"Nog een Zwarte Zondag. Over de gemeenteraadsverkiezingen van 8 oktober 2000, <span style=\"font-style: italic;\">Ter-Zake, Praktijkblad over lokaal beleid en samenlevingsopbouw</span>, 2000:9, p. 7-8"|"2009"|"STOUTHUYSEN, Patrick"
"848"|"Oud en nieuw in één. De vredesbeweging als atypische nieuwe sociale beweging. <span style=\"font-style: italic;\">Belgisch Tijdschrift voor Nieuwste Geschiedenis</span>. 34, 2004, 3, p. 399-419. (R) Ook gepubliceerd in Marc Hooghe en Jaak Billiet, <span style=\"font-style: italic;\">Historische en sociologische benaderingen van nieuwe sociale bewegingen</span>, Gent, Odis, 2004"|"2004"|"STOUTHUYSEN, Patrick"
"849"|"Promotiegeheimen. Over doctorale promotiecommissies, <span style=\"font-style: italic;\">Facta</span>, 12, 7, 2004, p. 13-14"|"2004"|"STOUTHUYSEN, Patrick"
"850"|"Samen of apart? Over verzuiling, multiculturaliteit en minderheidsrechten, <span style=\"font-style: italic;\">Vlaams Marxistisch Tijdschrift,</span> 36, 2002, 36-42"|"2002"|"STOUTHUYSEN, Patrick  "
"851"|"Sterven voor Sarajevo? De Joegoslavische kwestie in de Belgische politiek, 1991-1995, <span style=\"font-style: italic;\">Res Publica</span>, 46, 2004, 4, p. 555-582"|"2004"|"STOUTHUYSEN, Patrick"
"852"|"<a href=\"http://www.aspeditions.be/article.aspx?article_id=THESTA029H&amp;langue=en-gb\">T<span style=\"font-style: italic;\">he State of the City. The City is the State</span></a>, Brussel, VUBPress "|"2007"|"STOUTHUYSEN, Patrick"
"853"|"Twee visies op de stad, twee visies op beleid. Le Corbusier en Jane Jacobs over stedelijk beleid, pp. 19-32, in P. Stouthuysen (ed.) <a href=\"http://www.aspeditions.be/article.aspx?article_id=VITALE949D&amp;langue=en-gb\">V<span style=\"font-style: italic;\">itale Steden. Stadslucht Maakt Vrij</span></a>, Brussel, VUBPress, 2009 "|"2009"|"STOUTHUYSEN, Patrick"
"854"|"Veiligheid is ook een progressief thema, pp. 347-352, in Patrick Stouthuysen en Johan Basiliades, <span style=\"font-style: italic;\">Stadslucht maakt vrij. Liberalisme en stedenbeleid</span>, VUBPress, 2005"|"2005"|"STOUTHUYSEN, Patrick"
"855"|"Vroeger was het makkelijker. Over het overaanbod van doctoraatsstudenten, <span style=\"font-style: italic;\">Facta</span>, 14, maart 2006, p. 33"|"2006"|"STOUTHUYSEN, Patrick"
"856"|"Waarom de burgers niet meer meedoen. De crisis van de democratie in perspectief gezet in Bernard Hubeau en Michiel Elst, <span style=\"font-style: italic;\">Democratie in Ademnood ? Over legitimiteit, legitimatie en verfijning van de democratie</span>, Tegenspraak-cahier 21, Die Keure en Van Halewijck, Brugge, p. 7-17"|"2002"|"STOUTHUYSEN, Patrick"
"857"|"Waarom de vredesbeweging wel en de witte beweging geen succes werd. Over rationaliteit en collectieve actie, <span style=\"font-style: italic;\">Nieuw Tijdschrift van de VUB</span>, 15, 1, p. 7-19"|"2001"|"STOUTHUYSEN, Patrick"
"858"|"Waarom er in Frankrijk geen liberalisme bestaat. <span style=\"font-style: italic;\">Open</span>, 1, 2007, 2, pp. 39-45"|"2007"|"STOUTHUYSEN, Patrick"
"859"|"Waarom heeft Vlaanderen geen conservatieve partij? In Huib Pellikaan en Sebastiaan van der Lubben, <span style=\"font-style: italic;\">Ruimte op rechts? Conservatieve onderstroom in de lage landen,</span> Spectrum uitgeverij, Utrecht, 2006, p. 257-277"|"2006"|"STOUTHUYSEN, Patrick"
"860"|"'Weg die Bommen'. De vredesbeweging en het politieke debat over het Belgisch veiligheidsbeleid, in Van den Wijngaert, M. en Beulens, L., <span style=\"font-style: italic;\">Oost West, West Best. België onder de Koude Oorlog (1947-1989)</span>, Tielt, Lannoo, 1997, p. 158-170"|"1997"|"STOUTHUYSEN, Patrick"
"861"|"Wilde wetenschap. Over de profesionalisering van wetenschappelijk onderzoek, <span style=\"font-style: italic;\">Facta</span>, 13, 3, 2005, p. 13-14"|"2005"|"STOUTHUYSEN, Patrick"
"862"|"Woorden hebben hun betekenis. Over de nieuwe beginselverklaring van de VVD. <span style=\"font-style: italic;\">Liberaal Reveil</span>, 49, 2008, 3, pp. 136-139"|"2008"|"STOUTHUYSEN, Patrick"
"863"|"'Zonder meer, en zonder voorwaarden'. Het politieke engagement van Roger Van Geen, Roger Van Geen. <span style=\"font-style: italic;\">Een kritisch-optimistische kijk op onderwijs, wetenschap en maatschappij</span>, Brussel, VUBPress, 1997, p. 45-68"|"1997"|"STOUTHUYSEN, Patrick"
"864"|"Fazit: Internationale Umweltpolitik durch Verhandlungen und Verträge, in: Thomas Gehring and Oberthür Sebastian (eds.),<span style=\"font-style: italic;\"> Internationale Umweltregime. Umweltschutz durch Verhandlungen und Verträge</span>, Opladen 1997, 219-235"|"1997"|"OBERTHÜR, Sebastian and Thomas GEHRING"
"865"|"Routinemäßige Ölverschmutzung durch Tanker (OILPOL/MARPOL), in: Thomas Gehring and Oberthür, Sebastian (eds.), <span style=\"font-style: italic;\">Internationale Umweltregime. Umweltschutz durch Verhandlungen und Verträge</span>, Opladen 1997, 81-98"|"1997"|"OBERTHÜR, Sebastian"
"866"|"Internationale Regime als Steuerungsinstrumente der Umweltpolitik, in: Thomas Gehring and Oberthür, Sebastian (eds.), <span style=\"font-style: italic;\">Internationale Umweltregime. Umweltschutz durch Verhandlungen und Verträge</span>, Opladen 1997, 9-25"|"1997"|"Thomas GEHRING and OBERTHÜR, Sebastian"
"867"|"UNFCCC: The Second Conference of the Parties, in: <span style=\"font-style: italic;\">Environmental Policy and Law</span>, Vol. 26 (1996) No. 5, 195-201"|"1996"|"OBERTHÜR, Sebastian"
"868"|"UNFCCC: Signs of Progress, in: <span style=\"font-style: italic;\">Environmental Policy and Law</span>, Vol. 26 (1996) No. 4, 158-160"|"1996"|"OBERTHÜR, Sebastian"
"869"|"Die Reflexivität internationaler Regime. Erkenntnisse aus der Untersuchung von drei umweltpolitischen Problemfeldern, in: <span style=\"font-style: italic;\">Zeitschrift für Internationale Beziehungen</span>, Vol. 3 (1996) No. 1, 7-44"|"1996"|"OBERTHÜR, Sebastian"
"870"|"Stand und Perspektiven der internationalen Klimapolitik, in: Internationale Politik und Gesellschaft, Vol. 4/1995, 399-415"|"1995"|"OBERTHÜR, Sebastian and Hermann OTT"
"871"|"UN Convention on Climate Change: The First Conference of the Parties, in: E<span style=\"font-style: italic;\">nvironmental Policy and Law</span>, Vol. 25 (1995) No. 4/5, 144-150 and 154-156"|"1995"|"OBERTHÜR, Sebastian and Hermann OTT"
"872"|"Joint Implementation under the Climate Change Convention, in:<span style=\"font-style: italic;\"> International Environmental Affairs</span>, Vol. 6 (1994) No. 1, 45-58"|"1994"|"LOSKE, Reinhard and OBERTHÜR, Sebastian"
"873"|"Climate Change Convention: Preparations for the First Conference of the Parties, in: <span style=\"font-style: italic;\">Environmental Policy and Law</span>, Vol. 24 (1994) No. 6, 299-303"|"1994"|"OBERTHÜR, Sebastian"
"874"|"International Cooperation on Climate Change: The Role of the Developing Countries, in: Inter-American Development Bank (ed.), <span style=\"font-style: italic;\">Agenda 21 and Latin America. The Challenge of Implementing Environmental Law and Policy</span>, Washington, D.C. without year (1994), 243-254"|"1994"|"OBERTHÜR, Sebastian"
"875"|"The Negotiations on the UN Framework Convention on Climate Change: An Analysis, in: <span style=\"font-style: italic;\">Law and State</span>, Vol. 48 (1993), 7-34"|"1993"|"OBERTHÜR, Sebastian"
"876"|"Climate INC: Discussions on Joint Implementation and the Financial Mechanism, in: <span style=\"font-style: italic;\">Environmental Policy and Law</span>, Vol. 23 (1993) No. 6, 245-249"|"1993"|"OBERTHÜR, Sebastian"
"877"|"Montreal Protocol: The Copenhagen Meeting, in: <span style=\"font-style: italic;\">Environmental Policy and Law</span>, Vol. 23 (1993) No. 1, 6-12"|"1993"|"GEHRING, Thomas and OBERTHÜR, Sebastian"
"878"|"Europäisch-Amerikanische Politik zum Schutz der Ozon-schicht, in: Reinhard Loske (ed.), <span style=\"font-style: italic;\">Die Zukunft der Umweltpolitik in den transatlantischen Beziehungen</span>, Tagungsdokumentation, Wuppertal Institut für Klima, Umwelt, Energie, 1993, 112-127"|"1993"|"OBERTHÜR, Sebastian"
"879"|"Rio: kein Mißerfolg, in: <span style=\"font-style: italic;\">Europa-Archiv</span>, Vol. 47 (1992) No. 20, 595-602"|"1992"|"OBERTHÜR, Sebastian"
"880"|"Die Zerstörung der stratosphärischen Ozonschicht als internationales Problem, in: <span style=\"font-style: italic;\">Zeitschrift für Umweltpolitik und Umweltrech</span>t, Vol. 15 (1992) No. 2, 155-185"|"1992"|"OBERTHÜR, Sebastian"
"881"|"Die internationale Zuammenarbeit zum Schutz des Weltklimas, in: <span style=\"font-style: italic;\">Aus Politik und Zeitgeschichte</span>, Nr. B 16/92 vom 10. April 1992, 9-20"|"1992"|"OBERTHÜR, Sebastian"
"882"|"Fortschritte und Krisen in der internationalen Umweltpolitik, in: Helmut Hubel et al. (eds.), <span style=\"font-style: italic;\">Jahrbuch Internationale Politik 2003/2004</span>, München 2006: R. Oldenbourg, 119-126"|"2006"|"OBERTHÜR, Sebastian"
